level,requirement_id,domain,title,source_markers,source_guardrails,source_review_gates,evidence,automation_type,automation_maturity,check_type,policy_candidate,policy_rule,exception_allowed,exception_authority
ARCH-GOV,ARCH-GOV-REQ-001,Guardrails,Runtime and DevSecOps guardrails,,AG-RUN-001;AG-DEVSECOPS-001,,runtime_reference_architecture;ci_cd_pipeline_record;deployment_manifest;release_declaration,review_check,immediate,presence,False,,False,Enterprise Architect
ARCH-GOV,ARCH-GOV-REQ-002,Review Gates,Runtime review gate model,,,RG-ARCH-READY;RG-INTEGRATION-READY;RG-RELEASE-READY;RG-OPERATION-READY,review_gate_catalogue;threshold_definition;required_evidence_definition,evidence_check,immediate,presence,True,scripts/validate_runtime_governance.py,False,Architecture Review Board
ARCH-GOV,ARCH-GOV-REQ-003,Exceptions,Controlled architecture exception,,AG-EXC-001,,exception_record;risk_assessment;mitigation_plan;approval_record;review_date;expiry_date,blocking_gate,immediate,approval,True,policies/opa/architecture_release_readiness.rego,False,Architecture Review Board
ARCH-L1,ARCH-L1-REQ-001,BAPO,Business traceability and ownership,B1;B2;B3;B4,,,business_capability_mapping;traceability_record;process_description;owner_list,evidence_check,immediate,threshold,True,policies/opa/architecture_readiness.rego,True,Architecture Review Board
ARCH-L1,ARCH-L1-REQ-002,Product Architecture,Product architecture baseline,P0;P1;P2;P3;P7,,,product_architecture_document;product_bapo_map;context_diagram;building_block_view;adr_register,evidence_check,immediate,presence,True,policies/opa/architecture_readiness.rego,True,Product Architect
ARCH-L1,ARCH-L1-REQ-003,Solution Architecture,Solution boundary and capability allocation,S0;S1;S2,,,solution_bapo_map;product_participation_map;solution_context_diagram;capability_to_product_mapping,evidence_check,immediate,presence,True,policies/opa/architecture_readiness.rego,True,Solution Architect
ARCH-L1,ARCH-L1-REQ-004,Enterprise Architecture,Enterprise architecture orientation,E0;E1;E2,,,strategic_theme_mapping;sdd_alignment_record;enterprise_guardrail_mapping;published_reference_architecture,review_check,tool_integration_required,review,False,,True,Enterprise Architect
ARCH-L2,ARCH-L2-REQ-001,Interface and Data,Interface and data contract readiness,E3;E5;S3;S4;P6,,,interface_catalogue;interface_contract;data_contract;owner_assignment;schema_validation_result;contract_test_result,blocking_gate,tool_integration_required,presence,True,policies/opa/architecture_integration_readiness.rego,True,Solution Architect
ARCH-L2,ARCH-L2-REQ-002,Security,Security readiness,E6;S5;P8,,,security_guardrail_catalogue;solution_threat_model;trust_zone_model;product_security_concept;vulnerability_scan_result;security_test_evidence,blocking_gate,immediate,threshold,True,policies/opa/architecture_release_readiness.rego,True,Security Architect
ARCH-L2,ARCH-L2-REQ-003,Runtime and Deployment,Deployment and platform readiness,E8;P5,,,runtime_standard;deployment_manifest;environment_compatibility_evidence;deployment_pipeline_evidence;rollback_evidence,blocking_gate,immediate,presence,True,policies/opa/architecture_release_readiness.rego,True,Platform Architect
ARCH-L2,ARCH-L2-REQ-004,Release,Solution and product release compatibility,E7;S6;S7;S8;P9;P10;P13,,,release_compatibility_declaration;solution_release_baseline;compatibility_evidence;integration_test_result;performance_test_result;resilience_test_result,blocking_gate,immediate,threshold,True,policies/opa/architecture_release_readiness.rego,True,Architecture Review Board
ARCH-L3,ARCH-L3-REQ-001,Operation,Runtime observability,P11,,,logging_concept;metrics_definition;monitoring_dashboard;runtime_evidence;health_indicator_definition,evidence_check,tool_integration_required,presence,True,policies/opa/architecture_operation_readiness.rego,True,Product Architect
ARCH-L3,ARCH-L3-REQ-002,Feedback,Architecture feedback loop,B5,,,demo_or_review_finding;operational_finding_trend;technical_debt_item;improvement_backlog_item;closed_improvement_action,evidence_check,tool_integration_required,linkage,True,policies/opa/architecture_operation_readiness.rego,False,Architecture Review Board
ARCH-L3,ARCH-L3-REQ-003,Technical Debt,Technical debt and architecture runway improvement,E9;E10;S9;S10;P12,,,architecture_runway;enterprise_technical_debt_register;solution_technical_debt_register;risk_and_debt_register;technical_debt_trend,evidence_check,tool_integration_required,linkage,False,,False,Architecture Review Board
